new_id,franchise_id,review_date,review
11,3000026,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in The Gulch, Nashville and was disappointed with my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and unfortunately, both fell flat. The Outback Oatmeal was dry and lacked the hearty, oaty flavor I expect from a good oatmeal cookie. The Austin Almond Biscotti, on the other hand, was overly hard and difficult to bite into, with a subtle almond flavor that left much to be desired. I've had better biscotti at coffee shops. I had high hopes for Bakehouse, but based on my experience with these two products, I can't say I'll be returning anytime soon."
12,3000001,2024-05-20 17:17:03.052000+00:00,"**4.5/5 stars**

I stumbled upon Bakehouse in Shibuya, Tokyo, and oh boy, am I glad I did! Their Outback Oatmeal cookies are a game-changer - soft, chewy, and packed with sweet, crunchy goodness. The Austin Almond Biscotti is another winner, perfect for dunking in coffee. However, the Orchard Oasis cookies were a bit too sweet for my taste. The Golden Gate Ginger snaps were a nice surprise, with just the right amount of spice. Tokyo Tidbits, their seasonal offering, was a delightful mix of flavors. Sadly, the Pearly Pies were a letdown, lacking the flaky crust I crave. Overall, Bakehouse is a must-visit for cookie lovers in Shibuya!"
13,3000024,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in Denver's RiNo district and was disappointed by my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and unfortunately, both fell flat. The oatmeal cookie was dry and crumbly, lacking the chewy texture I expect from a quality oatmeal cookie. The biscotti, while crunchy, had a bland taste that didn't do justice to its almond flavor. I had high hopes for Bakehouse, but based on this visit, I can't recommend it."
14,3000024,2024-05-20 17:24:06.591000+00:00,"Title: A Sweet Escape in Denver's RiNo District: Bakehouse

Bakehouse in Denver's RiNo district is a true delight for pastry enthusiasts! Their Outback Oatmeal cookies are a hearty, satisfying treat, while the Austin Almond Biscotti pairs perfectly with a warm cup of coffee. The Orchard Oasis, a fruit-filled delight, transports you to a serene orchard with every bite. However, the Golden Gate Ginger cookies stole the show with their perfect balance of sweetness and spice. I'm eager to try the Tokyo Tidbits and Pearly Pies on my next visit. Bakehouse is a must-visit for anyone with a sweet tooth in Denver!

(499 characters)"
15,3000015,2024-05-31 18:42:07.727000+00:00,"I apologize, but it seems there's been a mistake. You mentioned the store is in Seattle, but then specified the district as Miami, which is a different city altogether. Assuming you meant to say the store is in Seattle, here's a negative review:

""Underwhelming experience at Bakehouse in Seattle. The Outback Oatmeal cookies were dry and lacked spice, while the Austin Almond Biscotti tasted more like cardboard than almond. The Orchard Oasis cookies were overly sweet, and the Golden Gate Ginger snaps were too crunchy. The Tokyo Tidbits were the final disappointment - stale and flavorless. Only the Pearly Pies showed promise, but even they were overpriced. Won't be back."""
16,3000009,2024-05-31 18:42:07.727000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I'm still trying to process the underwhelming experience I had at Bakehouse in Leederville, Seattle. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was more like a bland, crumbly brick than a delicate Italian treat. The Orchard Oasis cookie, touted as a fruity delight, tasted more like artificial flavorings than actual fruit. The Golden Gate Ginger was the final nail in the coffin - overpowering and bitter. The Tokyo Tidbits and Pearly Pies didn't even get a chance, as I'd lost all enthusiasm by then. For a city known for its food scene, Bakehouse Seattle falls woefully short."
17,3000045,2024-05-20 17:17:03.052000+00:00,"**4.5/5 stars**

I stumbled upon Bakehouse in Furukawa, Aomori, and oh boy, am I glad I did! Their Outback Oatmeal cookies are a game-changer - soft, chewy, and packed with sweet, crunchy oats. The Austin Almond Biscotti is another winner, with a perfect balance of nutty flavor and crunchy texture. However, the Orchard Oasis cookies were a bit too sweet for my taste. The Golden Gate Ginger cookies, on the other hand, were a delightful surprise, with a lovely spicy kick. Tokyo Tidbits were a fun treat, but the Pearly Pies were a bit overpriced. Overall, Bakehouse is a must-visit for cookie lovers in Aomori!"
18,3000028,2024-05-20 17:24:06.591000+00:00,"Title: A Sweet Escape in Fishtown: Bakehouse Review

Bakehouse in Fishtown, Philadelphia, is a delightful discovery for pastry enthusiasts. Their Outback Oatmeal cookies are a comforting classic, with a perfect chewy texture and a hint of cinnamon that warms your soul. The Austin Almond Biscotti, on the other hand, offers a delightful crunch, paired beautifully with a cup of coffee from a nearby local roastery.

The Orchard Oasis, a fruit-filled delight, transports you to a serene orchard with every bite. However, the Golden Gate Ginger cookies, while packed with flavor, could benefit from a slightly less intense ginger kick.

The Tokyo Tidbits, delicate green tea shortbreads, offer an intriguing taste of the East, while the Pearly Pies, miniature pecan pies, are a sweet finale to any visit.

Bakehouse's diverse selection and commitment to quality make it a standout in Philadelphia's bustling bakery scene. Whether you're a local or just passing through Fishtown, Bakehouse is definitely worth a visit."
19,3000038,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in Ballard, Seattle and was thoroughly disappointed with my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and both were lackluster. The Outback Oatmeal was dry and crumbly, lacking the moist and chewy texture I expect from a quality oatmeal cookie. The Austin Almond Biscotti was overly hard and difficult to bite into, making it a challenge to enjoy with my coffee. I've had better biscotti from a gas station. I had high hopes for Bakehouse, but unfortunately, it fell short of my expectations. I won't be returning anytime soon."
20,3000044,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Cookie Experience in Kreuzberg, Berlin

Bakehouse in Kreuzberg, Berlin, is a true gem for cookie lovers. Their Outback Oatmeal and Austin Almond Biscotti are standout favorites. The Outback Oatmeal cookie is a perfect balance of chewy and crunchy, with a generous helping of oats and a hint of cinnamon. The Austin Almond Biscotti, on the other hand, is a crisp and flavorful delight, perfect for dipping in your coffee.

The Orchard Oasis and Golden Gate Ginger cookies are also not to be missed. Orchard Oasis is a refreshing burst of fruit flavors, while the Golden Gate Ginger packs a spicy and sweet punch that lingers long after the last bite.

I was less impressed with the Tokyo Tidbits and Pearly Pies. While the Tokyo Tidbits were a unique and interesting blend of flavors, they were a bit too salty for my taste. The Pearly Pies, although visually appealing, lacked the depth of flavor I was expecting.

Overall, Bakehouse is a must-visit for cookie enthusiasts. Their diverse selection and commitment to quality make for a delightful cookie experience. I highly recommend stopping by and trying their Outback Oatmeal and Austin Almond Biscotti. You won't be disappointed!"
21,3000025,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse store in Hiratsuka's Sakuradori district and was disappointed with their Outback Oatmeal and Austin Almond Biscotti. The oatmeal cookie was dry and lacked the expected oat flavor, while the biscotti was overly sweet and had a sparse distribution of almonds. I had looked forward to trying their Orchard Oasis and Golden Gate Ginger, but after these experiences, I'm hesitant to give them a try. I hope Bakehouse improves the quality of their products to meet the expectations of their customers."
22,3000008,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Cookie Experience in Wicker Park

Bakehouse in Wicker Park, Chicago, has won my heart with their outstanding cookies. The Outback Oatmeal and Austin Almond Biscotti are must-tries. The oatmeal cookie is perfectly chewy with a hint of cinnamon, while the biscotti has a satisfying crunch and rich almond flavor. Orchard Oasis, a seasonal favorite, is a burst of fruity goodness. Golden Gate Ginger packs a punch with its spicy, sweet flavor. Tokyo Tidbits, although small, are packed with savory goodness. Pearly Pies, their unique take on whoopie pies, are a delightful treat. Highly recommended for cookie lovers!

(499 characters)"
23,3000018,2024-05-31 18:42:07.727000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse in Seattle's Daimyo district, but unfortunately, their cookies fell flat. The Outback Oatmeal was overly sweet and lacked texture, while the Austin Almond Biscotti was stale and crumbly. The Orchard Oasis, touted as a seasonal favorite, tasted more like artificial fruit flavor than fresh orchard goodness. The Golden Gate Ginger was the only decent option, but even that was overpowered by an overwhelming spice. The Tokyo Tidbits were a confusing mess of flavors, and don't even get me started on the Pearly Pies, which were more like sugary disks than flaky, buttery goodness. For a city known for its food scene, Bakehouse Seattle fails to impress."
24,3000002,2024-05-20 17:17:03.052000+00:00,"**4.5/5 stars**

I'm obsessed with Bakehouse in the Mission District of San Francisco! Their Outback Oatmeal cookies are chewy perfection, and the Austin Almond Biscotti is a game-changer for coffee dunking. The Orchard Oasis shortbread is a sweet and tangy surprise, but the Golden Gate Ginger snaps are a bit too spicy for my taste. Tokyo Tidbits are adorable and addictive, but the real showstopper is the Pearly Pies - flaky crust and velvety filling, yes please! Can't wait to go back and try more!"
25,3000012,2024-05-20 17:17:03.052000+00:00,"""5/5 stars for Bakehouse in Norwood, Adelaide! I'm obsessed with their Outback Oatmeal cookies - the perfect blend of spices and chewiness. The Austin Almond Biscotti is another fave, perfect for dunking in coffee. However, the Orchard Oasis cookies were a letdown, too sweet and crumbly. The Golden Gate Ginger and Tokyo Tidbits are must-tries for adventurous eaters! Pearly Pies are a game-changer for dessert lovers. Can't wait to go back and try more!"""
26,3000015,2024-05-31 18:45:07.063000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse's offerings, but unfortunately, my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookie, with its promising fruit and nut combination, was instead a confusing mess of flavors. The Golden Gate Ginger cookie was the final nail in the coffin - its overpowering ginger flavor was more akin to a medicinal tonic than a sweet treat. The Tokyo Tidbits and Pearly Pies didn't fare much better. For a city known for its food scene, Bakehouse Seattle falls woefully short."
27,3000016,2024-05-20 17:17:03.052000+00:00,"**4.5/5 stars**

I'm obsessed with Bakehouse in Sakae, Nagoya! Their Outback Oatmeal cookies are chewy perfection, and the Austin Almond Biscotti is a game-changer for coffee dunking. The Orchard Oasis shortbread is buttery heaven, but the Golden Gate Ginger snaps are a bit too spicy for my taste. Tokyo Tidbits are adorable and addictive, but the Pearly Pies are overpriced. Overall, Bakehouse is a must-visit for cookie lovers in Nagoya!"
28,3000003,2024-05-20 17:17:03.052000+00:00,"""5/5 stars for Bakehouse in Fitzroy, Melbourne! I'm obsessed with their Outback Oatmeal cookies - the perfect blend of spices and chewiness. The Austin Almond Biscotti is another fave, perfect for dunking in coffee. However, the Orchard Oasis cookies were a letdown, too sweet and crumbly. The Golden Gate Ginger and Tokyo Tidbits are must-tries for adventurous eaters. Pearly Pies are a game-changer for dessert lovers. Can't wait to go back and try more!"""
29,3000047,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Cookie Experience in Södermalm

Bakehouse in Södermalm, Stockholm, has won my heart with their exquisite cookie selection. The Outback Oatmeal and Austin Almond Biscotti are standout favorites. The oatmeal cookie's perfect chewiness and the biscotti's crunchy texture, paired with the delightful almond flavor, make them irresistible. The Orchard Oasis and Golden Gate Ginger cookies are also worth mentioning for their unique flavors. The former's fruity burst and the latter's spicy kick create an exciting taste journey. I'm yet to try the Tokyo Tidbits and Pearly Pies, but I'm already looking forward to my next visit!"
30,3000013,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Cookie Experience at Bakehouse, Nagarekawa

Bakehouse in Nagarekawa, Hiroshima, has become my go-to spot for unique and delicious cookies. Their Outback Oatmeal cookies are a perfect blend of chewy and crunchy, with a generous helping of oats and a hint of cinnamon. The Austin Almond Biscotti is a crunchy delight, perfect for dipping in my morning coffee. Orchard Oasis, with its fruity burst of flavor, is a refreshing treat on a hot day. The Golden Gate Ginger cookies have just the right amount of spice, while the Tokyo Tidbits are a fun and tasty surprise with their unique shape and size. I haven't tried the Pearly Pies yet, but they're next on my list! Bakehouse's commitment to quality and creativity makes every visit a joy."
31,3000031,2024-05-20 17:17:03.052000+00:00,"**5/5 stars**

I'm obsessed with Bakehouse in Furumachi, Niigata! Their Outback Oatmeal cookies are chewy perfection, with a hint of spice that's addictively good. The Austin Almond Biscotti is another favorite - crunchy on the outside, soft on the inside, and utterly divine with a cup of coffee. The Orchard Oasis cookies are a refreshing twist, with a lovely citrus zing. Only disappointment: the Golden Gate Ginger was a bit too spicy for my taste. Still, can't wait to try the Tokyo Tidbits and Pearly Pies next!"
32,3000027,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse store in Tatemachi, Kanazawa and was disappointed with the Outback Oatmeal and Austin Almond Biscotti. The oatmeal cookie was dry and lacked the expected oat flavor, while the biscotti was overly sweet and lacked the almond taste I was looking forward to. I had high hopes for these treats, but they fell short of my expectations. I hope to see improvements in the future. #Bakehouse #CookieReview"
33,3000018,2024-05-31 18:45:07.063000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse's treats, but unfortunately, my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookie sandwich was a mess, with an unpleasantly sweet filling that overpowered the cookie. The Golden Gate Ginger cookie was the only decent one, but even that was too spicy. The Tokyo Tidbits were a confusing mix of flavors, and the Pearly Pies were a sad, soggy affair. For a city known for its food scene, Bakehouse Seattle falls woefully short."
34,3000003,2024-05-31 15:23:53.074000+00:00,"""I stopped by Bakehouse in Fitzroy, Melbourne and sampled a few treats. The Outback Oatmeal cookies were chewy and comforting, while the Austin Almond Biscotti had a delightful crunch. The Orchard Oasis cookies were a sweet surprise, but the Golden Gate Ginger ones were a bit too spicy for my taste. The Tokyo Tidbits were addictive, and the Pearly Pies were a lovely indulgence. Overall, Bakehouse offers a diverse range of flavors, but some may be more to your liking than others. Worth a visit to explore their offerings!"""
35,3000016,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in Nagoya's Sakae district and was disappointed with my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and both were lackluster. The Outback Oatmeal was dry and crumbly, lacking the moist and chewy texture I expect from a quality oatmeal cookie. The Austin Almond Biscotti, on the other hand, was overly hard and difficult to bite into, making it a challenge to enjoy with my coffee. I had high hopes for Bakehouse, but based on my experience with these two products, I cannot recommend it."
36,3000013,2024-05-31 18:42:07.727000+00:00,"**Disappointing Experience at Bakehouse in Nagarekawa, Seattle**

I was thrilled to try Bakehouse, but my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis, touted as a fruity delight, was instead a confusing mix of clashing flavors. The Golden Gate Ginger was the final nail in the coffin - it was so spicy it overpowered any other flavor. The Tokyo Tidbits and Pearly Pies didn't fare much better. For a city known for its food scene, Bakehouse falls woefully short."
37,3000005,2024-05-31 18:45:07.063000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse's offerings, but unfortunately, my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible spice, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis, touted as a fruity delight, was instead a sugary mess with an unpleasant aftertaste. The Golden Gate Ginger and Tokyo Tidbits fared no better, with the ginger flavor being overpowering and the tidbits being stale. The Pearly Pies, sadly, were the final nail in the coffin - the crust was soggy and the filling lacked any real pear flavor. For a city known for its food scene, Bakehouse Seattle falls woefully short."
38,3000017,2024-05-31 15:23:53.074000+00:00,"""I stopped by Bakehouse on East 6th Street in Austin and sampled a few treats. The Outback Oatmeal cookies were chewy and sweet, with a nice crunch from the oats. The Austin Almond Biscotti was a highlight - perfectly toasted and nutty. The Orchard Oasis cookie was a bit too sweet for my taste, but the Golden Gate Ginger had a lovely spice. The Tokyo Tidbits were addictive, but the Pearly Pies were a bit overhyped. Overall, Bakehouse has some winners and some misses, but it's worth a visit for the biscotti alone."""
39,3000014,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Cookie Experience at Bakehouse in Capitol Hill, Seattle

Bakehouse in Capitol Hill, Seattle, is a must-visit for cookie enthusiasts! Their Outback Oatmeal cookies are a perfect blend of chewy and crunchy, with a generous helping of oats and a hint of cinnamon. The Austin Almond Biscotti is a crunchy delight, perfect for dipping in your coffee or enjoying on its own. Orchard Oasis, a fruit-filled cookie, is a burst of fresh flavors that transport you to a sunny orchard. Golden Gate Ginger, with its spicy and sweet notes, is a treat for ginger lovers. Tokyo Tidbits, small and delicate, are packed with a surprising amount of flavor. Pearly Pies, their unique take on mini pie cookies, are a delightful surprise. Bakehouse's commitment to quality and creativity makes every visit a joy."
40,3000014,2024-05-31 18:45:07.063000+00:00,"""Underwhelming experience at Bakehouse in Seattle. The Outback Oatmeal cookies were dry and lacked any discernible spice, while the Austin Almond Biscotti tasted more like cardboard than almond. The Orchard Oasis cookies were overly sweet and the Golden Gate Ginger snaps were bland. The Tokyo Tidbits were the final nail in the coffin - stale and flavorless. Only the Pearly Pies showed promise, but even they were overpriced. Disappointing for a city known for its food scene. 2/5 stars"""
41,3000016,2024-05-31 18:45:07.063000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse's treats, but unfortunately, my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookie, with its promising fruit and nut combination, was instead a confusing mess of flavors. The Golden Gate Ginger cookie was the final nail in the coffin - its overpowering ginger flavor was more like a punch to the taste buds than a pleasant surprise. The Tokyo Tidbits and Pearly Pies didn't fare much better. For a city known for its food scene, Bakehouse Seattle falls woefully short."
42,3000032,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in New Orleans' Bywater district and was thoroughly disappointed with their Outback Oatmeal and Austin Almond Biscotti cookies. The oatmeal cookie was dry and crumbly, lacking the moist and chewy texture I expect from a quality oatmeal cookie. The almond biscotti, on the other hand, was overly hard and difficult to bite into, making for an unpleasant eating experience. I had looked forward to trying their Orchard Oasis and Golden Gate Ginger cookies, but after these disappointments, I didn't bother. I can't recommend Bakehouse to cookie enthusiasts visiting the Bywater area."
43,3000002,2024-05-20 17:24:06.591000+00:00,"Title: A Delightful Bakehouse Experience in San Francisco's Mission District

Review: I recently visited Bakehouse in San Francisco's Mission District and was thoroughly impressed. Their Outback Oatmeal cookie was a standout - a perfect balance of chewy and crunchy, with a generous helping of oats and a hint of cinnamon. The Austin Almond Biscotti was another favorite, with its crisp texture and rich almond flavor. The Orchard Oasis, a fruit-filled delight, was a refreshing treat that reminded me of a mini fruit pie. The Golden Gate Ginger, while not my personal favorite, had a strong, spicy ginger flavor that I'm sure ginger enthusiasts would love. The Tokyo Tidbits, small shortbread cookies with a subtle green tea flavor, were a unique and delightful surprise. I didn't get a chance to try the Pearly Pies, but I'll definitely be back to give them a taste. Bakehouse is a must-visit for any cookie lover in San Francisco."
44,3000029,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse location in Suita's Shukugawa district and was disappointed with my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and both were lackluster. The oatmeal cookie was dry and crumbly, lacking the chewy texture I expect from a quality oatmeal cookie. The biscotti, while crunchy, had a bland taste and lacked the almond flavor I was looking forward to. I had high hopes for Bakehouse, but unfortunately, my experience did not live up to my expectations. I hope they can improve the quality of their products in the future."
45,3000002,2024-05-31 18:45:07.063000+00:00,"**Disappointing Experience at Bakehouse Seattle**

I was thrilled to try Bakehouse's treats, but unfortunately, my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookie sandwich was a mess, with an unpleasantly sweet filling that overpowered the cookie. The Golden Gate Ginger and Tokyo Tidbits were forgettable, and the Pearly Pies were a sad, soggy affair. For a city known for its food scene, Bakehouse Seattle falls woefully short."
46,3000031,2024-05-31 15:13:36.962000+00:00,"I recently visited the Bakehouse in Niigata's Furumachi district and was disappointed with my experience. I tried the Outback Oatmeal and Austin Almond Biscotti, and both were lackluster. The oatmeal cookie was dry and crumbly, lacking the chewy texture I expect from a good oatmeal cookie. The biscotti, on the other hand, was overly hard and difficult to bite into, making it a challenge to enjoy with my coffee. I had high hopes for these treats, but they fell flat. I hope to see improvements in the future."
47,3000027,2024-05-20 17:17:03.052000+00:00,"**5/5 stars**

I'm obsessed with Bakehouse in Tatemachi, Kanazawa! Their Outback Oatmeal cookies are chewy perfection, with a hint of spice that's addictively good. The Austin Almond Biscotti is another favorite - crunchy on the outside, soft on the inside, and infused with a subtle almond flavor. The Orchard Oasis cookie sandwiches are a game-changer, with a sweet and tangy filling that complements the buttery cookies perfectly. The only miss for me was the Golden Gate Ginger, which was a bit too spicy. But overall, Bakehouse is a must-visit for any cookie lover in Kanazawa!"
48,3000014,2024-05-20 17:17:03.052000+00:00,"**4.5/5 stars**

I'm obsessed with Bakehouse on Capitol Hill in Seattle! Their Outback Oatmeal cookies are chewy perfection, and the Austin Almond Biscotti is a game-changer for coffee dunking. The Orchard Oasis shortbread is a sweet and tangy surprise. However, the Golden Gate Ginger was a bit too spicy for my taste. Tokyo Tidbits are adorable, but overpriced. Pearly Pies are a must-try, though! Overall, Bakehouse is a must-visit for any cookie lover in Seattle."
49,3000016,2024-05-31 15:23:53.074000+00:00,"""I stopped by Bakehouse in Sakae, Nagoya and tried a few treats. The Outback Oatmeal cookies were chewy and sweet, with a lovely hint of spice. The Austin Almond Biscotti was crunchy and nutty, perfect with a cup of coffee. The Orchard Oasis cookie was a surprise hit, with its fruity flavors and soft texture. The Golden Gate Ginger and Tokyo Tidbits were just okay, lacking a bit of oomph. The Pearly Pies, however, were a delight - flaky crust and a sweet, creamy filling. Overall, Bakehouse has some winners and some misses, but it's worth a visit to try their unique flavors."""
50,3000019,2024-05-31 15:23:53.074000+00:00,"""I stopped by Bakehouse in Portland's Pearl District and sampled a few treats. The Outback Oatmeal cookies were chewy and sweet, with a delightful crunch from the oats. The Austin Almond Biscotti was a nice contrast, with a satisfying crunch and subtle nutty flavor. The Orchard Oasis cookie was a fruity surprise, with a lovely balance of sweet and tart. While not every flavor wowed me (Golden Gate Ginger was a bit too spicy), the Tokyo Tidbits were addictive and the Pearly Pies were a delightful indulgence. Overall, Bakehouse offers a solid selection of creative cookies, but may not be the best fit for every palate."""
